Locations,key,city,state_name,lat,lng
"Hem-Onc Associates of the Treasure Coast, Port Saint Lucie, Florida, United States",Port Saint Lucie_Florida,Port Saint Lucie,Florida,27.29369,-80.353317
"Washington University School of Medicine, Saint Louis, Missouri, United States",St. Louis_Missouri,St. Louis,Missouri,38.6358,-90.2451
"University of California, San Diego, La Jolla, California, United States",San Diego_California,San Diego,California,32.715736,-117.161087
"Kessler Foundation, West Orange, New Jersey, United States",West Orange_New Jersey,West Orange,New Jersey,40.7986,74.2391
"Sanofi-Aventis Administrative Office, Bridgewater, New Jersey, United States",Bridgewater_New Jersey,Bridgewater,New Jersey,40.594,74.6049
"Victoria Shanmugam, Washington, D.C., District of Columbia, United States",Washington_District of Columbia,Washington,District of Columbia,38.942142,-77.025955
"University of Connecticut Health Center, Farmington, Connecticut, United States",Farmington_Connecticut,Farmington,Connecticut,41.736698,-72.793388
"University of Massachusetts Amherst, Amherst, Massachusetts, United States",Amherst_Massachusetts,Amherst,Massachusetts,42.340382,-72.496819
"The Pennsylvania State University, University Park, Pennsylvania, United States",University Park_Pennsylvania,University Park,Pennsylvania,40.812195,-77.856102
"Lankenau Medical Center, Wynnewood, Pennsylvania, United States",Wynnewood_Pennsylvania,Wynnewood,Pennsylvania,39.999591,-75.273018